
Datum;Kl;NO;NO2;NOx;CO;CO2;PM10
2024-06-01;22:15:00;1.32836;6.23677;8.26651;0.24988;394.284;22.4313
2024-06-01;22:30:00;1.3264;9.27843;11.3052;0.259787;397.573;22.3845
2024-06-01;22:45:00;1.53686;9.18144;11.5298;0.239678;398.053;25.768
2024-06-01;23:00:00;1.62319;10.5172;12.9974;0.256619;398.404;18.941
2024-06-01;23:15:00;1.68484;12.9873;15.5618;0.261131;402.957;20.4259
2024-06-01;23:30:00;2.17786;12.4007;15.7285;0.278384;404.192;16.5568
2024-06-01;23:45:00;1.61072;8.37714;10.8383;0.267496;402.221;13.5244
2024-06-02;00:00:00;1.55155;9.8353;12.2061;0.264247;400.913;16.1536
2024-06-02;00:15:00;0.521008;8.45039;9.24649;0.25257;403.478;22.9623
2024-06-02;00:30:00;1.15105;8.30624;10.0651;0.225224;401.812;35.0498
2024-06-02;00:45:00;1.54064;6.27116;8.62526;0.27662;402.057;23.7137
2024-06-02;01:00:00;1.35864;6.0488;8.1248;0.23766;402.322;22.7676
2024-06-02;01:15:00;2.07645;6.0051;9.17792;0.2048;401.811;18.4642
2024-06-02;01:30:00;0.701631;6.61784;7.68993;0.216481;399.692;19.2016
2024-06-02;01:45:00;1.53293;5.47661;7.81892;0.194614;399.461;18.7325
2024-06-02;02:00:00;1.48187;5.02421;7.28851;0.221355;400.871;19.1955
2024-06-02;02:15:00;1.25645;5.8296;7.74947;0.215061;402.896;19.5675
2024-06-02;02:30:00;0.771239;6.11365;7.2921;0.198695;403.416;23.0273
2024-06-02;02:45:00;1.62204;8.06422;10.5427;0.260685;401.308;22.8214
2024-06-02;03:00:00;0.928354;3.73236;5.15089;0.205032;400.817;22.1656
2024-06-02;03:15:00;0.750134;3.02394;4.17014;0.221701;401.113;21.1916
2024-06-02;03:30:00;1.36665;3.38929;5.47754;0.216673;401.632;17.5714
2024-06-02;03:45:00;1.74805;5.05863;7.72965;0.214242;402.856;18.3513
2024-06-02;04:00:00;0.729054;3.36202;4.47602;0.188353;403.34;21.7005
2024-06-02;04:15:00;0.791926;4.79871;6.00877;0.194433;406.152;21.4106
2024-06-02;04:30:00;1.50231;3.51954;5.81506;0.20136;407.424;18.6242
2024-06-02;04:45:00;1.05772;2.73479;4.35098;0.189318;408.29;19.8802
2024-06-02;05:00:00;5.58192;7.48767;16.0168;0.241804;411.292;22.2718
2024-06-02;05:15:00;1.57167;2.57212;4.97363;0.273309;409.043;23.0913
2024-06-02;05:30:00;0.735281;2.26516;3.38867;0.264039;407.363;17.2877
2024-06-02;05:45:00;1.09406;1.73713;3.40887;0.223395;408.419;15.7706
2024-06-02;06:00:00;1.49415;2.72059;5.00365;0.279642;407.227;14.5037
2024-06-02;06:15:00;1.42663;2.81272;4.99261;0.264708;406.947;16.6057
2024-06-02;06:30:00;0.932387;3.16736;4.59205;0.215978;407.636;15.6828
2024-06-02;06:45:00;4.57497;4.71201;11.7026;0.189694;406.999;23.5214
2024-06-02;07:00:00;1.5094;2.54053;4.8469;0.197557;403.646;25.5271
2024-06-02;07:15:00;0.945492;2.81339;4.25809;0.206174;401.255;18.2474
2024-06-02;07:30:00;1.03589;3.16336;4.74619;0.193689;399.097;17.8216
2024-06-02;07:45:00;1.92325;3.77983;6.71856;0.191587;396.939;18.3692
2024-06-02;08:00:00;1.72422;2.58707;5.22168;0.185511;396.384;17.7033
